id,titolo_breve,production_id,dcTitle,from,to,datetext,luogo_nome,luogo_id,edificio_nome,edificio_id,composizione_nome,composizione_id,fullpath
63763,Cromico,,Cromico,1994-02-17,1994-02-17,17/02/1994,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/17-02-1994 Cromico (63763)
63764,Cromico,,Cromico,1994-02-18,1994-02-18,18/02/1994,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/18-02-1994 Cromico (63764)
63765,Cromico,,Cromico,1994-02-19,1994-02-19,19/02/1994,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/19-02-1994 Cromico (63765)
63766,La ruota degli elfi,,La ruota degli elfi,1994-03-01,1994-03-01,01/03/1994,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/01-03-1994 La ruota degli elfi (63766)
63767,La ruota degli elfi,,La ruota degli elfi,1994-03-02,1994-03-02,02/03/1994,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/02-03-1994 La ruota degli elfi (63767)
63768,La ruota degli elfi,,La ruota degli elfi,1994-03-03,1994-03-03,03/03/1994,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/03-03-1994 La ruota degli elfi (63768)
63769,La biblioteca di Omero,,La biblioteca di Omero,1994-03-08,1994-03-08,08/03/1994,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/08-03-1994 La biblioteca di Omero (63769)
63770,La biblioteca di Omero,,La biblioteca di Omero,1994-03-09,1994-03-09,09/03/1994,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/09-03-1994 La biblioteca di Omero (63770)
63771,Jona che visse nella balena,,Jona che visse nella balena,1994-03-10,1994-03-10,10/03/1994,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/10-03-1994 Jona che visse nella balena (63771)
63772,Jona che visse nella balena,,Jona che visse nella balena,1994-03-11,1994-03-11,11/03/1994,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/11-03-1994 Jona che visse nella balena (63772)
63773,Nessuno può coprire l'ombra,,Nessuno può coprire l'ombra,1994-03-14,1994-03-14,14/03/1994,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/14-03-1994 Nessuno può coprire l'ombra (63773)
63774,Barbaria,,Barbaria,1994-03-17,1994-03-17,17/03/1994,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/17-03-1994 Barbaria (63774)
63775,Barbaria,,Barbaria,1994-03-18,1994-03-18,18/03/1994,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/18-03-1994 Barbaria (63775)
63777,Pollicino,,Pollicino,1994-11-28,1994-11-28,28/11/1994,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/28-11-1994 Pollicino (63777)
63778,Pollicino,,Pollicino,1994-11-29,1994-11-29,29/11/1994,Reggio Emilia,1911,Teatro Ariosto: Sala Verdi,9302,,,/Recite/29-11-1994 Pollicino (63778)
