id_recita,esecutore_nome,esecutore_id,esecutore_ruolo
60691,Orchestra del Teatro Nazionale Sloveno dell'Opera di Lubiana,30374,orchestra
60691,Corpo di ballo del Teatro Nazionale Sloveno dell'Opera di Lubiana,30403,compagnia di balletto/danza
60692,Ballets Africains,30714,interprete
60693,Balletto del Teatro Nazionale di Sarajevo,30713,compagnia di balletto/danza
60694,Icarus Ensemble,29542,orchestra
60694,Coro Femminile Claudio Merulo,30751,coro
60695,Icarus Ensemble,29542,orchestra
60695,Coro Femminile Claudio Merulo,30751,coro
60696,Compagnia dei Quattro,31702,interprete
60697,Balletto del Teatro Nazionale di Sarajevo,30713,compagnia di balletto/danza
60697,Orchestra del Teatro Nazionale di Sarajevo,87636,orchestra
60698,London's Festival Ballet,30711,compagnia di balletto/danza
60699,London's Festival Ballet,30711,compagnia di balletto/danza
60700,Grande Balletto di Roland Petit,30754,interprete
60701,Balletto del Teatro Nazionale di Sarajevo,30713,compagnia di balletto/danza
60701,Orchestra del Teatro Nazionale di Sarajevo,87636,
60702,Orchestra Tzigana,30756,orchestra
60702,Coro Tzigano,34355,coro
60702,Balletto Nazionale Ungherese,30755,compagnia di balletto/danza
60704,Complesso di danze di Budapest,30758,interprete
60705,Orchestra del Teatro alla Scala,29658,interprete
60705,Corpo di ballo del Teatro alla Scala di Milano,29840,interprete
60706,Orchestra del Teatro Comunale di Bologna,29914,orchestra
60706,Compagnia del Balletto Italiano,30759,compagnia di balletto/danza
60707,Compagnia del Balletto Italiano,30759,interprete
60711,Laboratorio Teatro Settimo,30644,interprete
60720,Accademia Perduta Romagna Teatri,30657,interprete
60721,Teatro dell'Archivolto,29710,interprete
60722,Teatro Municipale Romolo Valli,29664,produzione
60723,Giallo Mare Minimal Teatro,30766,interprete
60724,Teatrino dell'Erbamatta,30767,interprete
60725,Compagnia del Gentile,30768,interprete
60728,Teatro Pirata,30770,interprete
60730,Teatro all'Improvviso,30655,interprete
60732,Teatro delle Briciole Solares Fondazione delle Arti,30406,interprete
60734,Fondazione Sipario Toscana,30769,interprete
60735,Accademia Perduta Romagna Teatri,30657,interprete
60736,Teatro dell'Angolo,30773,interprete
60738,Teatro Gioco Vita,29742,interprete
60740,Iattattiro Band,30654,interprete
60744,Teatro del Barattolo,30648,interprete
60745,Fondazione AIDA,30649,interprete
60746,Teatro Il Setaccio,30643,interprete
60748,Fondazione AIDA,30649,interprete
60752,Teatro Il Setaccio,30643,interprete
60753,Teatro Il Setaccio,30643,interprete
60754,Teatrino dell'Erbamatta,30767,interprete
60756,Teatro Pirata,30770,interprete
60759,Teatrino dell'Erbamatta,30767,interprete
60760,Compagnia Fratelli di Taglia,30771,interprete
60762,Teatrino dell'Erbamatta,30767,interprete
60770,Teatrino dell'Erbamatta,30767,interprete
60771,Aterballetto,29463,compagnia di balletto/danza
60773,Lost Tribe,30832,interprete
60773,The Funky Company,30833,interprete
60776,Yellowjackets,30844,interprete
60787,Compagnia Katzenmacher,24765,interprete
60792,Compagnia Katzenmacher,24765,interprete
60806,Complesso strumentale del Teatro San Prospero,30877,interprete
60807,Complesso strumentale del Teatro San Prospero,30877,interprete
60808,Aterballetto,29463,compagnia di balletto/danza
60809,Aterballetto,29463,compagnia di balletto/danza
60810,Aterballetto,29463,compagnia di balletto/danza
60811,Aterballetto,29463,compagnia di balletto/danza
60812,Aterballetto,29463,compagnia di balletto/danza
60813,Aterballetto,29463,compagnia di balletto/danza
60814,Aterballetto,29463,compagnia di balletto/danza
60815,Aterballetto,29463,compagnia di balletto/danza
60816,Aterballetto,29463,compagnia di balletto/danza
60817,Aterballetto,29463,compagnia di balletto/danza
60818,Aterballetto,29463,compagnia di balletto/danza
60834,Orchestra del Teatro Comunale di Bologna,29914,orchestra
60834,Coro del Teatro Comunale di Bologna,29474,coro
60835,Orchestra del Teatro Comunale di Bologna,29914,orchestra
60835,Coro del Teatro Comunale di Bologna,29474,coro
60849,Coro di voci bianche Belvedere,30906,interprete
60850,Coro di voci bianche Belvedere,30906,interprete
60851,Coro di voci bianche Belvedere,30906,interprete
60852,Coro di voci bianche Belvedere,30906,interprete
60853,Coro di voci bianche Belvedere,30906,interprete
60854,Coro di voci bianche Belvedere,30906,interprete
60855,TheaterOrchestra,29488,interprete
60859,I Broncoviz,30907,interprete
60866,Aterballetto,29463,compagnia di balletto/danza
60867,Aterballetto,29463,compagnia di balletto/danza
