id_recita,curatore_nome,curatore_id,curatore_ruolo
35246,Massimo Peiretti,8200,Maestro del coro
35247,Pinchas Steinberg,7414,Direttore d'orchestra
35247,Massimo Peiretti,8200,Maestro del coro
35248,Pinchas Steinberg,7414,Direttore d'orchestra
35248,Massimo Peiretti,8200,Maestro del coro
35249,Pinchas Steinberg,7414,Direttore d'orchestra
35249,Massimo Peiretti,8200,Maestro del coro
35250,Philip Ellis,8210,Direttore d'orchestra
35251,Paul Murphy,8228,Direttore d'orchestra
35252,Philip Ellis,8210,Direttore d'orchestra
35253,Philip Ellis,8210,Direttore d'orchestra
35254,Paul Murphy,8228,Direttore d'orchestra
35255,Paul Murphy,8228,Direttore d'orchestra
35256,Philip Ellis,8210,Direttore d'orchestra
35257,Philip Ellis,8210,Direttore d'orchestra
35258,Philip Ellis,8210,Direttore d'orchestra
35259,Alain Guingal,4362,Direttore d'orchestra
35259,Massimo Peiretti,8200,Maestro del coro
35260,Alain Guingal,4362,Direttore d'orchestra
35260,Massimo Peiretti,8200,Maestro del coro
35261,Alain Guingal,4362,Direttore d'orchestra
35261,Massimo Peiretti,8200,Maestro del coro
35262,Alain Guingal,4362,Direttore d'orchestra
35262,Massimo Peiretti,8200,Maestro del coro
35263,Alain Guingal,4362,Direttore d'orchestra
35263,Massimo Peiretti,8200,Maestro del coro
35264,Alain Guingal,4362,Direttore d'orchestra
35264,Massimo Peiretti,8200,Maestro del coro
35265,Alain Guingal,4362,Direttore d'orchestra
35265,Massimo Peiretti,8200,Maestro del coro
35266,Alain Guingal,4362,Direttore d'orchestra
35266,Massimo Peiretti,8200,Maestro del coro
35267,Alain Guingal,4362,Direttore d'orchestra
35267,Massimo Peiretti,8200,Maestro del coro
35268,Alain Guingal,4362,Direttore d'orchestra
35268,Massimo Peiretti,8200,Maestro del coro
35269,Donato Renzetti,6344,Direttore d'orchestra
35269,Massimo Peiretti,8200,Maestro del coro
35270,Donato Renzetti,6344,Direttore d'orchestra
35270,Massimo Peiretti,8200,Maestro del coro
35271,Donato Renzetti,6344,Direttore d'orchestra
35271,Massimo Peiretti,8200,Maestro del coro
35272,Donato Renzetti,6344,Direttore d'orchestra
35272,Massimo Peiretti,8200,Maestro del coro
35273,Donato Renzetti,6344,Direttore d'orchestra
