id_recita,esecutore_nome,esecutore_id,esecutore_ruolo
38379,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38379,"Coro del Teatro Regio, Torino",7196,Coro
38379,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38380,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38381,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38382,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38382,"Coro del Teatro Regio, Torino",7196,Coro
38387,Filarmonica Teatro Regio Torino,25601,Orchestra
38388,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38388,"Coro del Teatro Regio, Torino",7196,Coro
38389,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38389,"Coro del Teatro Regio, Torino",7196,Coro
38390,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38390,"Coro del Teatro Regio, Torino",7196,Coro
38391,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38392,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38393,"Strumentisti delle classi del Conservatorio “G. Verdi”, Torino",25470,Orchestra
38393,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38394,"Strumentisti delle classi del Conservatorio “G. Verdi”, Torino",25470,Orchestra
38394,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38395,"Strumentisti delle classi del Conservatorio “G. Verdi”, Torino",25470,Orchestra
38395,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38396,Quartetto di percussioni Catubam,25016,Complesso da camera
38397,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38397,"Coro del Teatro Regio, Torino",7196,Coro
38398,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38398,"Coro del Teatro Regio, Torino",7196,Coro
38399,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38400,Quartetto di percussioni Catubam,25016,Complesso da camera
38401,Quartetto di percussioni Catubam,25016,Complesso da camera
38402,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38404,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38407,Clarivoces Ensemble,28014,Complesso da camera
38408,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38408,"Coro del Teatro Regio, Torino",7196,Coro
38409,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38409,"Coro del Teatro Regio, Torino",7196,Coro
38410,Italian Opera Highlights,28033,Complesso da camera
38411,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38411,"Coro del Teatro Regio, Torino",7196,Coro
38412,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38412,"Coro del Teatro Regio, Torino",7196,Coro
38414,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38414,"Coro del Teatro Regio, Torino",7196,Coro
38415,"Orchestra Suzuki, Torino",28057,Orchestra
38415,"Orchestra dei Piccoli Archi del Conservatorio “G. Verdi”, Torino",27029,Orchestra
38415,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38415,"Piccoli cantori, Torino",8517,Coro
38416,"Orchestra Sinfonica Nazionale della RAI, Torino",3864,Orchestra
38416,"Coro del Teatro Regio, Torino",7196,Coro
38417,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38419,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38420,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38421,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38421,"Coro del Teatro Regio, Torino",7196,Coro
38422,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38422,"Coro del Teatro Regio, Torino",7196,Coro
38423,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38423,"Coro del Teatro Regio, Torino",7196,Coro
38424,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38424,"Coro del Teatro Regio, Torino",7196,Coro
38425,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38425,"Coro del Teatro Regio, Torino",7196,Coro
38426,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38426,"Coro del Teatro Regio, Torino",7196,Coro
38427,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38427,"Coro del Teatro Regio, Torino",7196,Coro
38428,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38428,"Coro del Teatro Regio, Torino",7196,Coro
38429,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38430,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38430,"Coro del Teatro Regio, Torino",7196,Coro
38431,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38432,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38433,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38434,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38435,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38436,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38437,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38438,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38438,"Coro del Teatro Regio, Torino",7196,Coro
38439,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38439,"Gruppi corali del Liceo Musicale Cavour, Torino",28102,Coro
38440,"Orchestra Sinfonica Nazionale della RAI, Torino",3864,Orchestra
38440,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38440,"Coro del Teatro Regio, Torino",7196,Coro
38440,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38440,Coro del Maggio Musicale Fiorentino,28109,Coro
38441,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38441,"Coro del Teatro Regio, Torino",7196,Coro
38442,"Coro “I Piccoli Musici”, Casazza",28123,Coro
38442,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38443,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38443,"Coro del Teatro Regio, Torino",7196,Coro
38444,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38444,"Coro del Teatro Regio, Torino",7196,Coro
38445,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38445,"Coro del Teatro Regio, Torino",7196,Coro
38449,"Orchestra del Teatro Mariinskij, San Pietroburgo",28193,Orchestra
38449,"Coro del Teatro Regio, Torino",7196,Coro
38450,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38450,"Coro del Teatro Regio, Torino",7196,Coro
38453,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38453,"Coro del Teatro Regio, Torino",7196,Coro
