performance_id,composition_title,start_date,end_date,year,date_text,first_location,first_building,related_compositions,source_id
32860,,2009-12-30,2009-12-30,2009.0,30-12-2009 - 30-12-2009,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6966
32861,,2010-02-01,2010-02-01,2010.0,01-02-2010 - 01-02-2010,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6969
32862,,2010-03-01,2010-03-01,2010.0,01-03-2010 - 01-03-2010,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6971
32863,,2010-03-22,2010-03-22,2010.0,22-03-2010 - 22-03-2010,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6973
32864,,2010-04-22,2010-04-22,2010.0,22-04-2010 - 22-04-2010,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6975
32865,,2010-05-24,2010-05-24,2010.0,24-05-2010 - 24-05-2010,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6977
32866,Ciottolino,2010-04-21,2010-04-29,2010.0,21-04-2010 - 29-04-2010,/Luoghi/Torino (95280),/Edifici/Piccolo Regio Puccini (95350),/Composizioni (52556)/Ciottolino (40097),object_id_6985
32867,"Italiana in Algeri, L’",2010-07-03,2010-07-04,2010.0,03-07-2010 - 04-07-2010,/Luoghi/Racconigi (95294),/Edifici/Serre Reali del Castello (95342),"/Composizioni (52556)/Italiana in Algeri, L’ (40378)",object_id_6995
32868,,2010-07-24,2010-07-24,2010.0,24-07-2010 - 24-07-2010,/Luoghi/Tokyo (95302),/Edifici/Bunka Kaikan (95351),,object_id_7004
32869,,2010-08-05,2010-08-05,2010.0,05-08-2010 - 05-08-2010,/Luoghi/Shanghai (95304),/Edifici/Expo Auditorium (Expo Park) (95353),,object_id_7013
32870,,2010-12-04,2010-12-15,2010.0,04-12-2010 - 15-12-2010,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_7039
32871,"Belle, La",2010-12-18,2010-12-23,2010.0,18-12-2010 - 23-12-2010,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Belle, La (41061)",object_id_7050
