performance_id,credit_type,person_id,person_name,role
33574,artistic,7912,Kim Davis,Luci
33574,artistic,7913,Leah Hausman,Coreografo
33574,technical,7167,"Pompei 2000, Roma",Calzature
33574,technical,7159,"Mario Audello, Torino",Parrucche
33574,technical,7162,"Eikon Multivision, Firenze",Realizzazione sopratitoli
33575,artistic,6871,Jurij Nikolaevič Grigorovič,Coreografo
33575,artistic,6892,Simon Virsaladze,"Costumista,Scenografo"
33575,technical,11227,"Lancia, Torino",Sponsor
33576,artistic,8485,Sylvano Bussotti,"Costumista,Regista,Scenografo"
33576,artistic,6682,Luca Veggetti,Coreografo
33576,artistic,7506,Renzo Bussotti,"Costumista,Scenografo"
33576,artistic,11192,Francesca Laurino,Assistente alle scene
33576,artistic,11405,Fulvia Roverselli,Assistente ai costumi
33576,artistic,8483,Rocco Quaglia,Assistente alla regia
33576,technical,6441,"Teatro Regio, Torino",Attrezzeria
33576,technical,7173,"Farani, Roma",Sartoria
33576,technical,7160,"Epoca (di Biagio), Milano",Calzature
33576,technical,7159,"Mario Audello, Torino",Parrucche
33576,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria
33577,artistic,3707,Ivan Stefanutti,"Costumista,Regista,Scenografo"
33577,artistic,3709,Fausta Mazzucchelli,"Assistente alla regia,Coreografo"
33577,artistic,11192,Francesca Laurino,"Assistente ai costumi,Assistente alle scene"
33577,technical,6422,"Teatro Regio, Parma",Realizzazione
33577,technical,11189,"L.A.B.A. Gioielli, Roma",Attrezzeria
33577,technical,11187,"Diva, Milano",Sartoria
33577,technical,11188,"C.T.C. Calzature, Milano",Calzature
33577,technical,7159,"Mario Audello, Torino",Parrucche
33577,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria
33578,artistic,7169,Andrea Anfossi,Luci
33578,artistic,7694,Jonathan Miller,Regista
33578,artistic,7757,Gianfranco Ventura,Regista
33578,artistic,7548,Tiziana Tosco,Coreografo
33578,artistic,7695,Peter J Davison,Scenografo
33578,artistic,8491,Sue Blane,Costumista
33578,technical,7415,"Teatro Comunale, Firenze",Attrezzeria
33578,technical,7173,"Farani, Roma",Sartoria
33578,technical,10521,"Calzature artistiche Sacchi, Firenze",Calzature
33578,technical,7159,"Mario Audello, Torino",Parrucche
33579,artistic,7169,Andrea Anfossi,Luci
33579,artistic,10741,Giuseppe Patroni Griffi,Regista
33579,artistic,3765,Aldo Terlizzi,"Costumista,Scenografo"
33579,technical,6441,"Teatro Regio, Torino",Attrezzeria
33579,technical,11320,Gruppo Fondiaria-Sai,Sponsor
33579,technical,8463,"La Bottega Veneziana, Treviso",Attrezzeria
33579,technical,7883,"G.P. 11, Roma",Sartoria
33579,technical,7160,"Epoca (di Biagio), Milano",Calzature
33579,technical,7159,"Mario Audello, Torino",Parrucche
33579,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria
33580,artistic,7169,Andrea Anfossi,Luci
33580,artistic,9555,William Friedkin,Regista
33580,artistic,9547,Marc Ribaud,Coreografo
33580,artistic,4054,Carlo Diappi,"Costumista,Scenografo"
33580,artistic,11448,Riccardo Fracchia,Assistente alla regia
33580,artistic,11475,Mayra Morelli,Assistente alla coreografia
33580,artistic,11474,Valentina Dellavia,Assistente alle scene
33580,artistic,11421,Chiara Donato,Assistente ai costumi
33580,technical,6441,"Teatro Regio, Torino",Attrezzeria
33580,technical,11320,Gruppo Fondiaria-Sai,Sponsor
33580,technical,7883,"G.P. 11, Roma",Sartoria
33580,technical,7159,"Mario Audello, Torino",Parrucche
33580,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria
33581,artistic,9576,Jean Reno,Regista
33581,artistic,11476,Didier Flamand,"Luci,Regista"
33581,artistic,7548,Tiziana Tosco,Coreografo
33581,artistic,9577,Thierry Flamand,Scenografo
33581,artistic,9581,Christian Gasc,Costumista
33581,artistic,11477,Valérie Ranchoux,Assistente ai costumi
33581,technical,9579,"Traiano Luce 73, Torino",Attrezzeria
33581,technical,9580,"Pienzio, Torino",Attrezzeria
33581,technical,7544,Annamode 68 S.r.l.,Sartoria
33581,technical,9578,"Costume Fashion Home, Roma",Sartoria
33581,technical,7167,"Pompei 2000, Roma",Calzature
33581,technical,7159,"Mario Audello, Torino",Parrucche
33581,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria
33582,artistic,3918,Pier Luigi Pizzi,"Costumista,Regista,Scenografo"
33582,artistic,10043,Vincenzo Raponi,Luci
33582,technical,6424,"Teatro Comunale, Bologna","Realizzazione,Attrezzeria"
33582,technical,11320,Gruppo Fondiaria-Sai,Sponsor
33582,technical,10801,"Carlo Rubechini, Firenze",Attrezzeria
33582,technical,7166,"Tirelli, Roma",Sartoria
33582,technical,7167,"Pompei 2000, Roma",Calzature
33582,technical,7159,"Mario Audello, Torino",Parrucche
33583,artistic,10165,Manfred Voss,Luci
33583,artistic,7517,Robert Carsen,Regista
33583,artistic,11511,Christophe Gayral,Assistente alla regia
33583,artistic,7518,Laurie Feldman,Assistente alla regia
33583,artistic,8902,Radu Boruzescu,Scenografo
33583,artistic,11512,Catalina Defta,Assistente alle scene
33583,artistic,8903,Miruna Boruzescu,Costumista
33583,artistic,11513,Monique Bertrand,Assistente ai costumi
33583,artistic,9771,Philippe Giraudeau,Coreografo
33583,artistic,11510,Dario Cioni,Video
33583,technical,7749,"Mekane, Guidonia (Roma)",Realizzazione
33583,technical,7883,"G.P. 11, Roma",Sartoria
33583,technical,7178,"C.T.C. Pedrazzoli, Milano",Calzature
33583,technical,7159,"Mario Audello, Torino",Parrucche
33583,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria
33584,artistic,7169,Andrea Anfossi,Luci
33584,artistic,7487,Vittorio Borrelli,Regista
33584,artistic,10116,Claudia Boasso,Scenografo
33584,artistic,4838,Luisa Spinatelli,Costumista
33585,artistic,4296,Giancarlo Cobelli,Regista
33585,artistic,3853,Ivo Guerra,Regista
33585,artistic,8005,Alessandro Mathis,Coreografo
33585,artistic,4297,Paolo Tommasi,"Costumista,Scenografo"
33585,artistic,9738,Luca Ferioli,Luci
33585,technical,6424,"Teatro Comunale, Bologna","Realizzazione,Attrezzeria,Sartoria"
33585,technical,10521,"Calzature artistiche Sacchi, Firenze",Calzature
33585,technical,7159,"Mario Audello, Torino",Parrucche
33585,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria
33586,artistic,7487,Vittorio Borrelli,Regista
33586,artistic,10685,Saverio Santoliquido,Scenografo
33586,artistic,10116,Claudia Boasso,Scenografo
33586,artistic,7860,Laura Viglione,Costumista
33586,artistic,7220,Eugenio Guglielminetti,Costumista
33586,artistic,9738,Luca Ferioli,Luci
33587,artistic,7487,Vittorio Borrelli,Regista
33587,artistic,7220,Eugenio Guglielminetti,"Costumista,Scenografo"
33587,artistic,10685,Saverio Santoliquido,Scenografo
33587,artistic,10116,Claudia Boasso,Scenografo
33587,artistic,7860,Laura Viglione,Costumista
33587,artistic,9738,Luca Ferioli,Luci
33587,artistic,10290,Sergio Bestente,Realizzazione sopratitoli
33587,technical,6441,"Teatro Regio, Torino","Realizzazione,Attrezzeria"
33587,technical,7160,"Epoca (di Biagio), Milano",Calzature
33587,technical,7159,"Mario Audello, Torino",Parrucche
33587,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria
33588,artistic,7487,Vittorio Borrelli,Regista
33588,artistic,7220,Eugenio Guglielminetti,"Costumista,Scenografo"
33588,artistic,10685,Saverio Santoliquido,Scenografo
33588,artistic,10116,Claudia Boasso,Scenografo
33588,artistic,7860,Laura Viglione,Costumista
33588,artistic,9738,Luca Ferioli,Luci
33588,artistic,10290,Sergio Bestente,Realizzazione sopratitoli
33588,technical,6441,"Teatro Regio, Torino","Realizzazione,Attrezzeria"
33588,technical,7160,"Epoca (di Biagio), Milano",Calzature
33588,technical,7159,"Mario Audello, Torino",Parrucche
33588,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria
33589,artistic,7169,Andrea Anfossi,Luci
33589,artistic,10743,Marina Bianchi,Regista
33589,artistic,10744,Leila Fteita,"Costumista,Scenografo"
33590,artistic,10641,Vasilij Vainonen,Coreografo
33590,artistic,8743,Altynai Asylmuratova,Coreografo
33590,artistic,6892,Simon Virsaladze,Scenografo
33590,artistic,10675,Tat'jana Noginova,Costumista
33590,artistic,10676,Irina Korovina,Costumista
33590,technical,10677,"Teatro Mariinskij, San Pietroburgo",Realizzazione
33591,artistic,10506,Denis Krief,"Costumista,Luci,Regista,Scenografo"
33591,artistic,10736,Pia Di Bitonto,Assistente alla regia
33591,artistic,10737,Angela Vasta,Assistente alle scene
33591,technical,27295,"De Simoni, Parma",Video
33591,technical,6422,"Teatro Regio, Parma","Realizzazione,Attrezzeria"
33591,technical,10521,"Calzature artistiche Sacchi, Firenze",Calzature
33591,technical,7159,"Mario Audello, Torino",Parrucche
33592,artistic,7169,Andrea Anfossi,Luci
33592,artistic,7487,Vittorio Borrelli,Regista
33592,artistic,10116,Claudia Boasso,Scenografo
33592,artistic,4838,Luisa Spinatelli,Costumista
33592,technical,6441,"Teatro Regio, Torino","Realizzazione,Attrezzeria"
33592,technical,7160,"Epoca (di Biagio), Milano",Calzature
33592,technical,7159,"Mario Audello, Torino",Parrucche
33592,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria
33593,artistic,7169,Andrea Anfossi,Luci
33593,artistic,10743,Marina Bianchi,Regista
33593,artistic,10744,Leila Fteita,"Costumista,Scenografo"
33593,technical,6441,"Teatro Regio, Torino","Realizzazione,Attrezzeria,Sartoria"
33593,technical,9741,Regione Piemonte,Sponsor
33593,technical,10745,Le Gallinelle,Sartoria
33593,technical,7178,"C.T.C. Pedrazzoli, Milano",Calzature
33593,technical,7159,"Mario Audello, Torino",Parrucche
33593,technical,7161,"Rancati, Cornaredo (MI)","Realizzazione,Attrezzeria"
33594,artistic,10592,Laurent Pelly,"Costumista,Regista"
